EGID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	neglogpadj
7915	-0.861466916	5.082010621	-3.235384565	0.001292272	0.014453076	-1.316811367	ALDH5A1	1.840039706
11136	-2.861359697	3.346607035	-3.218013534	0.001371492	0.01506964	-1.137813404	SLC7A9	1.821897126
124936	-0.510343517	4.900024941	-3.194991612	0.00148341	0.01599193	-1.431212944	CYB5D2	1.796099128
145389	0.561358859	3.344731708	3.181340619	0.001553699	0.016540206	-1.349126511	SLC38A6	1.781459084
79623	-1.555153481	7.631363721	-3.166093896	0.001635832	0.017132908	-1.563015864	GALNT14	1.766168917
11320	-0.662541761	6.472552482	-3.160928125	0.001664556	0.017249383	-1.593228692	MGAT4A	1.763226442
80736	-2.505089385	3.458847239	-3.145245412	0.001754636	0.017875735	-1.352935962	SLC44A4	1.747736083
9673	-0.574102551	5.632170591	-3.135307068	0.001814026	0.018353762	-1.654521747	SLC25A44	1.736274914
6561	-4.080767905	2.78956668	-3.12573077	0.001872999	0.018789018	-1.393605476	SLC13A1	1.72609592
10050	-4.264762296	4.193204841	-3.111779735	0.001962078	0.019403852	-1.441141216	SLC17A4	1.712112037
9429	-1.553050338	3.98002286	-3.10870786	0.00198221	0.019486214	-1.526245305	ABCG2	1.710272541
2593	-1.282273339	5.466281111	-3.091193795	0.002100664	0.020328286	-1.766234741	GAMT	1.69189923
4247	0.4016889	5.345320922	3.082583751	0.002161254	0.020706387	-1.804770673	MGAT2	1.68389567
284613	-0.586621512	4.333926769	-3.052849398	0.002383065	0.021960376	-1.820379623	CYB561D1	1.658360227
64902	-3.363004618	4.7689799	-3.048386948	0.002418102	0.022127981	-1.712980842	AGXT2	1.655058206
64577	-2.768095384	4.400157715	-3.044283521	0.002450737	0.022253148	-1.73886215	ALDH8A1	1.652608542
50515	0.774049714	3.553680772	3.0371597	0.002508355	0.022550304	-1.8219889	CHST11	1.646847596
50614	-2.789404823	1.946354621	-3.031968874	0.002551119	0.022830186	-1.64003505	GALNT9	1.641490557
2939	-3.700596444	5.479431536	-3.03044878	0.002563768	0.02289496	-1.773525764	GSTA2	1.640260117
788	-0.451321438	4.265943779	-3.029932479	0.002568077	0.02289496	-1.86966308	SLC25A20	1.640260117
340024	-4.096043784	2.454296888	-3.029517566	0.002571545	0.022908535	-1.666170705	SLC6A19	1.640002688
4248	-1.694337809	4.353492758	-3.024105253	0.002617176	0.023122646	-1.823006328	MGAT3	1.63596247
8659	-1.313981019	6.008214171	-2.992739289	0.002896564	0.02493628	-2.072048993	ALDH4A1	1.60316833
2650	1.072999796	2.712512127	2.9917724	0.002905595	0.02497751	-1.827801326	GCNT1	1.602450862
9368	-0.728155612	7.59733576	-2.976827318	0.003048502	0.025842403	-2.122144918	SLC9A3R1	1.587667103
6531	-3.774725989	5.813402886	-2.976055217	0.003056057	0.02587432	-2.004178747	SLC6A3	1.587131062
283375	-3.271640752	4.432765382	-2.973559875	0.00308059	0.02602561	-1.897656563	SLC39A5	1.584599079
55343	0.39118277	4.773834074	2.941226961	0.003415179	0.028047817	-2.187526415	SLC35C1	1.552100942
113235	-0.593073922	5.420975383	-2.937993939	0.003450398	0.028277899	-2.221552585	SLC46A1	1.548552864
10861	-1.308160967	2.857603659	-2.919497202	0.003658344	0.02948961	-1.967471876	SLC26A1	1.530330977
9249	-0.639034038	7.113464505	-2.913132778	0.003732497	0.029998992	-2.313016682	DHRS3	1.522893343
6514	-3.128148012	3.953241597	-2.911559893	0.003751032	0.030047349	-2.029576429	SLC2A2	1.522193846
5243	-1.705593865	4.735831293	-2.905551507	0.003822614	0.030384758	-2.238540241	ABCB1	1.51734422
3176	-0.670803053	6.585867768	-2.875009755	0.004206091	0.032270447	-2.419562003	HNMT	1.491195014
217	-0.689812776	7.689295232	-2.87297235	0.004232877	0.032412612	-2.411867627	ALDH2	1.489285972
1809	1.105268647	6.238737924	2.868022298	0.004298604	0.032787994	-2.431352124	DPYSL3	1.484285157
2590	0.738941646	6.884199391	2.866195842	0.004323089	0.032932098	-2.438264867	GALNT2	1.482380594
160728	-3.991531738	2.806531377	-2.864031462	0.004352269	0.03306882	-2.096733967	SLC5A8	1.480581302
9351	-0.926602264	6.546722963	-2.862583707	0.004371887	0.033196462	-2.447483157	SLC9A3R2	1.478908204
114134	-0.749087301	4.843918943	-2.850526874	0.004538413	0.034218242	-2.436068876	SLC2A13	1.465742301
124637	-0.525107064	5.354860152	-2.850619501	0.004537112	0.034218242	-2.463511477	CYB5D1	1.465742301
501	-0.474709986	6.589164538	-2.839920407	0.00468965	0.035044421	-2.51718071	ALDH7A1	1.45538111
10165	-0.481769577	5.385977804	-2.805416949	0.005213818	0.037903168	-2.584817449	SLC25A13	1.421324485
84532	-0.705315954	6.094601526	-2.786566438	0.005522101	0.039466376	-2.649581014	ACSS1	1.403772752
200010	-1.720992788	3.777748516	-2.767236683	0.005855265	0.041193225	-2.479364324	SLC5A9	1.385174207
116085	-3.797012442	3.115414154	-2.749270633	0.006181108	0.04292153	-2.392000717	SLC22A12	1.36732481
26154	-1.92571057	2.201874208	-2.740609444	0.006343969	0.043691767	-2.39704205	ABCA12	1.359600388
79581	0.587745552	4.979536996	2.720608909	0.006734941	0.04532423	-2.796507155	SLC52A2	1.343669567
8402	-0.433992258	6.083972265	-2.719626589	0.006754692	0.045371908	-2.836014255	SLC25A11	1.343212962
6575	-0.473083528	4.742332762	-2.716951898	0.006808734	0.04555176	-2.76335214	SLC20A2	1.341494837
201232	-1.052373853	2.978483819	-2.71388051	0.006871272	0.045770908	-2.531211147	SLC16A13	1.339410475
55226	0.278501378	5.831631584	2.692312546	0.007325201	0.047874682	-2.903769788	NAT10	1.319894095
166012	-1.519123003	2.959443169	-2.675489616	0.007697805	0.049729594	-2.630372514	CHST13	1.303385083
1807	-2.207659611	4.986048173	-2.668559449	0.00785619	0.05053105	-2.837282846	DPYS	1.296441681
54020	-0.620228429	3.938966847	-2.655565556	0.008161069	0.051969655	-2.835482898	SLC37A1	1.284250166
159963	-3.5374934	4.936453094	-2.64621707	0.00838694	0.052876335	-2.766343119	SLC5A12	1.276738655
10195	0.513778999	4.937199044	2.63190741	0.00874355	0.054224746	-3.015392909	ALG3	1.265802477
9245	-1.443092873	3.207725351	-2.627958251	0.008844331	0.054630849	-2.744294773	GCNT3	1.262562051
23456	-0.479115791	4.613501689	-2.623931806	0.008948154	0.054829556	-3.013556904	ABCB10	1.260985268
81539	-0.644826472	8.295105195	-2.621577221	0.009009372	0.055004341	-3.052920763	SLC38A1	1.259603031
5002	-0.864925395	5.355317186	-2.602805051	0.009511011	0.057148558	-3.09750371	SLC22A18	1.242994722
80218	0.418783786	6.482867356	2.598031986	0.009642478	0.057615153	-3.150637682	NAA50	1.239463279
6523	-3.549890178	4.034646414	-2.595342939	0.009717258	0.057851137	-2.802509697	SLC5A1	1.237688103
8260	0.473240262	5.159660713	2.594738617	0.009734135	0.057869208	-3.12499822	NAA10	1.237552458
79751	0.536903192	3.899798308	2.57563922	0.010281198	0.059967459	-3.082034748	SLC25A22	1.222084356
29929	-0.326392405	3.746030618	-2.54360684	0.011260525	0.063880156	-3.094735883	ALG6	1.19463403
2326	-2.125242421	5.16946073	-2.513894765	0.012242298	0.06743571	-3.240583163	FMO1	1.171110067
9356	-3.66766885	1.822593957	-2.49162541	0.013027274	0.07050653	-2.937580696	SLC22A6	1.151770661
8714	-1.120563633	7.272227677	-2.475629143	0.013618366	0.072541258	-3.441203055	ABCC3	1.13941492
291	-0.586323372	5.820062787	-2.47169053	0.013767502	0.07313481	-3.434488021	SLC25A4	1.13587586
3291	-1.555734186	5.004899967	-2.471128794	0.01378889	0.07314944	-3.299559113	HSD11B2	1.135788995
51809	0.568226733	4.349276909	2.458161108	0.014290872	0.07506851	-3.421462888	GALNT7	1.124542203
24142	0.440970424	2.663251074	2.45662953	0.014351215	0.075284746	-3.16066748	NAA80	1.123293012
8501	0.766190052	2.40511809	2.440519854	0.014999702	0.077410817	-3.138384224	SLC43A1	1.111198348
493869	0.651476651	5.342680716	2.433837116	0.015276221	0.078479689	-3.519445335	GPX8	1.105242728
28232	-0.52866106	5.345127526	-2.425804919	0.015614527	0.079538188	-3.532754298	SLCO3A1	1.09942431
283848	-1.497594224	3.999941041	-2.400530972	0.016722551	0.083983573	-3.4267016	CES4A	1.07580565
10840	-1.784560185	5.802672382	-2.385943784	0.017393087	0.08637295	-3.553680108	ALDH1L1	1.063622245
23315	-0.375736063	5.028154219	-2.37038509	0.018134233	0.088506781	-3.650785308	SLC9A8	1.053023452
6546	-0.767646134	4.933386799	-2.366571549	0.018320072	0.089052243	-3.649395858	SLC8A1	1.050355136
9963	-1.651013873	2.600216361	-2.365369251	0.018379007	0.089183997	-3.307268717	SLC23A1	1.049713068
151295	-2.426446139	3.926011715	-2.357978279	0.018744972	0.090438154	-3.398717996	SLC23A3	1.043648311
144245	-0.434863525	4.06350365	-2.356283345	0.018829792	0.090661678	-3.574624672	ALG10B	1.042576245
220	1.049562744	3.848346812	2.352516419	0.019019509	0.0912066	-3.636313618	ALDH1A3	1.039973735
51706	-0.309085248	5.993041117	-2.35249855	0.019020413	0.0912066	-3.728346592	CYB5R1	1.039973735
8693	-0.434798282	4.766663213	-2.346235099	0.01933959	0.09247355	-3.690789737	GALNT4	1.033982469
6515	0.895667634	6.929935592	2.320026055	0.020726627	0.096588472	-3.802575767	SLC2A3	1.015074704
51126	0.248526803	5.786416211	2.319405058	0.02076052	0.096632488	-3.79614959	NAA20	1.014876837
6520	0.438191017	7.287109815	2.300674973	0.021805806	0.100080661	-3.840901315	SLC3A2	0.999649833
1244	-1.490105028	4.26056507	-2.293942118	0.022192621	0.100990148	-3.738875465	ABCC2	0.995720991
2328	-1.212324075	3.387335461	-2.280905244	0.022958656	0.103429179	-3.583576038	FMO3	0.985356922
55902	-0.409106249	5.92765556	-2.265467671	0.023895453	0.106309295	-3.923826954	ACSS2	0.973428761
6819	-1.180969385	4.603946035	-2.240146598	0.025504056	0.112033297	-3.849871615	SULT1C2	0.950652885
11068	0.389301939	3.725454061	2.213362275	0.027307071	0.116986311	-3.85903242	CYB561D2	0.931864952
29015	0.596221488	5.842788116	2.177895248	0.029863576	0.124408679	-4.109187908	SLC43A3	0.905149321
2180	-0.669043156	7.908293834	-2.163562257	0.030953824	0.127596255	-4.128984041	ACSL1	0.894162072
79939	-0.284874426	6.719525051	-2.159728093	0.031251218	0.128015859	-4.157609192	SLC35E1	0.892736226
66035	-0.457145265	3.559586027	-2.1571626	0.031451578	0.128555264	-3.926876071	SLC2A11	0.890910134
55974	0.351721828	4.969272319	2.156188327	0.031527956	0.128701818	-4.11618958	SLC50A1	0.89041532
2954	0.544679329	3.558365336	2.141258844	0.032718457	0.132414181	-3.980493282	GSTZ1	0.878065502
373156	-0.416762516	7.4470948	-2.11146292	0.035210189	0.138408009	-4.244688926	GSTK1	0.858838778
84263	-0.439150463	6.466441832	-2.072537452	0.038708683	0.14686603	-4.335034244	HSDL2	0.833078643
6573	0.533884928	2.938128535	2.062513766	0.039656129	0.149449675	-4.066728673	SLC19A1	0.825505026
316	-1.33476828	5.283187449	-2.058559236	0.040035307	0.150301502	-4.319694667	AOX1	0.82303668
23461	-0.532282965	4.688651845	-2.057767688	0.040111573	0.150443949	-4.274079071	ABCA5	0.822625275
6583	-0.912269175	3.365766836	-2.052961661	0.040577297	0.15156322	-4.065948132	SLC22A4	0.819406178
147015	-0.602330412	3.608334798	-2.04031777	0.041824551	0.154506819	-4.132655958	DHRS13	0.811052348
79796	-0.176480081	5.103812111	-2.012543095	0.044679009	0.162021108	-4.410594521	ALG9	0.790428403
60386	0.370033683	3.392798833	2.011949944	0.044741722	0.162030524	-4.219890277	SLC25A19	0.790403163
3029	-0.424208372	5.355778161	-1.996690364	0.046380899	0.165523591	-4.446944619	HAGH	0.7811401
89845	0.369068741	3.863188936	1.989563877	0.047163624	0.167162106	-4.357017326	ABCC10	0.776862165
10057	0.524734119	5.045353661	1.987034398	0.047444111	0.167792581	-4.467398224	ABCC5	0.775227245
64116	-0.521888156	5.50448839	-1.977935602	0.048464709	0.169972863	-4.49711685	SLC39A8	0.769620409
10568	-2.983309327	3.178513118	-1.96010033	0.050518961	0.174629235	-4.087250763	SLC34A2	0.757883048
222962	-0.867399473	5.167799761	-1.937906993	0.053176872	0.179981421	-4.521687887	SLC29A4	0.744772323
80221	0.642146797	3.500713295	1.915697219	0.055953054	0.186525737	-4.410229722	ACSF2	0.729261235
1806	0.460902974	4.968438351	1.907465164	0.057012339	0.188480349	-4.61829774	DPYD	0.724733922
115286	0.284440401	3.888214588	1.891112	0.059166294	0.193105938	-4.510998755	SLC25A26	0.714204371
25979	-0.303108993	4.893998367	-1.889614133	0.059366928	0.193459964	-4.615572122	DHRS7B	0.713408896
8604	-0.272582486	4.616996059	-1.877689707	0.060984441	0.196723832	-4.631542915	SLC25A12	0.706143025
4258	-0.311869824	5.497401824	-1.875417196	0.061296817	0.197184544	-4.676652204	MGST2	0.70512713
54407	0.30237806	7.748199127	1.861403698	0.063252584	0.200951089	-4.705129157	SLC38A2	0.696909636
6542	0.798566559	5.699499884	1.847599964	0.065229362	0.204636706	-4.734892522	SLC7A2	0.689016465
84068	-0.276504314	3.373986715	-1.842474377	0.065976267	0.206320366	-4.482962393	SLC10A7	0.685457901
4329	-0.791927591	4.355089083	-1.839670395	0.066387848	0.206893275	-4.625141896	ALDH6A1	0.684253625
6303	0.394295849	8.135804879	1.81329478	0.070364142	0.214528947	-4.786159268	SAT1	0.668514099
9962	-0.324613513	5.835855702	-1.813288019	0.070365185	0.214528947	-4.809544755	SLC23A2	0.668514099
2686	-0.443652971	4.383547024	-1.805104515	0.071638031	0.216843033	-4.714289913	GGT7	0.663854526
9197	-0.326592583	5.307771219	-1.77803412	0.075983938	0.225573882	-4.843628278	SLC33A1	0.646711187
84912	-0.296616267	5.382280837	-1.777690596	0.076040444	0.225573882	-4.848664673	SLC35B4	0.646711187
55238	0.351913441	3.468593215	1.774925992	0.076496443	0.226470239	-4.68202865	SLC38A7	0.644988861
9446	0.350685966	6.73620853	1.753574181	0.080094066	0.233483404	-4.925780667	GSTO1	0.631743984
8884	0.312140078	4.389855874	1.738775674	0.0826675	0.237921942	-4.859142752	SLC5A6	0.623565504
84138	0.267752243	3.028497613	1.738326303	0.082746684	0.237975018	-4.626206778	SLC7A6OS	0.623468632
1727	-0.31426322	8.955429033	-1.730452526	0.084144162	0.240642497	-4.900965542	CYB5R3	0.618627676
10061	0.219853595	5.776785012	1.728350354	0.084520489	0.241425614	-4.963849789	ABCF2	0.617216656
10999	0.358211819	4.539570632	1.720818031	0.08588014	0.244243036	-4.898104203	SLC27A4	0.612177811
23169	-0.38690349	5.265337336	-1.719423908	0.086133725	0.244728689	-4.962474843	SLC35D1	0.611315116
7782	-0.55452147	2.386530029	-1.706006271	0.088605476	0.248394832	-4.568377862	SLC30A4	0.604857444
11000	-0.421063565	4.952207164	-1.704084663	0.088964115	0.248959827	-4.944112174	SLC27A3	0.603870726
1534	-0.29481843	6.041111594	-1.703394267	0.089093254	0.249050854	-5.007564675	CYB561	0.603711964
51363	-0.615144191	6.42603962	-1.699612471	0.089803326	0.250581986	-5.015742334	CHST15	0.601050152
254428	-0.355534429	5.960292566	-1.698866586	0.089943912	0.250892812	-5.007881006	SLC41A1	0.600511781
6548	0.298662329	5.285807603	1.683960645	0.092790849	0.255984501	-5.01606526	SLC9A1	0.591786329
9057	0.276871214	5.073765972	1.670833426	0.095357737	0.260020391	-5.025650893	SLC7A6	0.584992593
2182	0.335270922	6.442079072	1.669547431	0.095612237	0.260593686	-5.066701781	ACSL4	0.584036111
115817	-0.298927288	4.268144983	-1.648743421	0.099805651	0.268458544	-4.972309926	DHRS1	0.57112277
9016	0.234394222	2.757658062	1.646496163	0.100267296	0.268985864	-4.714038384	SLC25A14	0.570270543
23428	0.672803689	4.183972088	1.638582366	0.101906602	0.271988659	-5.016540008	SLC7A8	0.565449204
2946	-0.520288542	5.159316479	-1.619379067	0.105973482	0.278209918	-5.095448224	GSTM2	0.555627392
1808	-0.360128216	7.806212542	-1.60120981	0.10993922	0.283937323	-5.153670947	DPYSL2	0.546777517
376497	-0.277660588	5.236542685	-1.583092004	0.114009941	0.290861637	-5.159261608	SLC27A1	0.536313556
10347	0.501997219	3.242181701	1.567198309	0.117678119	0.296448172	-4.963841633	ABCA7	0.528051223
201266	0.290127682	4.52370241	1.563108835	0.118636815	0.297717196	-5.158747562	SLC39A11	0.526196079
253512	-0.364754612	5.609152615	-1.551275618	0.121445496	0.302509222	-5.234927698	SLC25A30	0.519261381
56731	-0.352924791	6.32454312	-1.529066092	0.126857586	0.311315231	-5.279760058	SLC2A4RG	0.506799631
57404	-0.207608665	4.744718607	-1.52331212	0.128289997	0.313004205	-5.222624216	CYP20A1	0.504449828
10060	-0.565879197	4.787943244	-1.521056553	0.128854933	0.313667745	-5.211214909	ABCC9	0.503530138
728661	-0.281632893	6.395671892	-1.517208985	0.129823078	0.315142864	-5.301720048	SLC35E2B	0.501492522
2944	-1.789097942	1.909348635	-1.515972649	0.130135371	0.315658271	-4.771545157	GSTM1	0.500782826
11046	-0.233107407	5.127902332	-1.514103048	0.130608733	0.316367554	-5.266317064	SLC35D2	0.499808063
80270	-0.51834406	6.81728281	-1.510633744	0.131490671	0.317759258	-5.309684237	HSD3B7	0.497901787
79612	-0.273795406	3.511940318	-1.500752231	0.134028049	0.320692469	-5.093158817	NAA16	0.493911239
54978	-0.290947821	6.777347732	-1.47748551	0.140152389	0.328726545	-5.358666237	SLC35F6	0.483165225
2876	0.352936687	7.698559507	1.476553937	0.140402023	0.32901949	-5.33741306	GPX1	0.482778375
1317	0.298853188	5.539725573	1.475425936	0.140704753	0.329309209	-5.345952845	SLC31A1	0.482396125
79829	0.235930635	4.224332107	1.465548206	0.143377255	0.332982437	-5.274321882	NAA40	0.477578673
6509	-0.300359316	5.317167445	-1.460818858	0.144670566	0.334594841	-5.338088899	SLC1A4	0.47548076
20	-0.331837157	6.276237936	-1.453077565	0.146806862	0.337026201	-5.392522024	ABCA2	0.472336335
55652	-0.267626599	5.092930037	-1.452447384	0.146981826	0.337296345	-5.349714091	SLC48A1	0.471988365
25800	0.294391461	6.376604149	1.439656123	0.150567885	0.342742735	-5.413812788	SLC39A6	0.465031741
81034	0.184396524	4.569243889	1.438354041	0.150936646	0.343162331	-5.327518045	SLC25A32	0.464500391
19	-0.393473868	6.853917714	-1.429420446	0.153485354	0.347347621	-5.424070121	ABCA1	0.459235672
1728	0.366450691	5.483393005	1.424266503	0.154970604	0.349700862	-5.410686621	NQO1	0.456303297
8140	0.752276926	5.392700412	1.417751907	0.156863594	0.352016491	-5.424323965	SLC7A5	0.453436991
284129	-0.254033492	4.173074346	-1.408687963	0.159526546	0.355285528	-5.324035553	SLC26A11	0.449422482
7779	-0.427112909	4.170282591	-1.404473032	0.160776497	0.357190116	-5.315148242	SLC30A1	0.447100567
5832	0.214344209	6.476298195	1.385775071	0.166411052	0.36573923	-5.487549093	ALDH18A1	0.436828454
29985	0.263122415	3.93150059	1.383140972	0.167216648	0.366792786	-5.306125907	SLC39A3	0.435579214
79807	-0.279615073	3.328274386	-1.376801386	0.169167552	0.369003521	-5.216765656	GSTCD	0.43296949
55032	-0.222238303	5.457028693	-1.375309692	0.169629075	0.369743035	-5.472614529	SLC35A5	0.432099998
347734	0.200558831	5.994571417	1.373845551	0.170082994	0.370458187	-5.49926478	SLC35B2	0.431260802
3491	0.576966485	7.838879067	1.359580577	0.174553355	0.375948246	-5.503839872	CCN1	0.424871937
128	-0.1916799	7.331617608	-1.352004907	0.176962904	0.37892584	-5.523167734	ADH5	0.421445778
23443	-0.333977704	3.980841263	-1.350340781	0.177495516	0.379822139	-5.356502569	SLC35A3	0.420419724
283537	-0.336291313	5.218553545	-1.347972513	0.178255556	0.381001032	-5.502185732	SLC46A3	0.419073848
7172	-0.273350924	6.119549291	-1.345241344	0.179135074	0.382093522	-5.536841165	TPMT	0.417830326
91252	0.269809677	5.968670966	1.343995429	0.179537368	0.382344744	-5.538443878	SLC39A13	0.417544876
124935	-0.33114754	6.039690567	-1.341149236	0.180458904	0.383137645	-5.534600856	SLC43A2	0.416645175
124565	0.216156829	7.153460751	1.340186823	0.180771309	0.383524357	-5.541755302	SLC38A10	0.416207049
