logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	neglogpadj
-1.634003136	5.175044049	-3.368008531	0.000865015	0.014472382	-0.954920559	SLC28A1	1.839459983
-0.847093493	4.34881964	-3.322457875	0.001012848	0.01604346	-0.96065515	ABCA5	1.794701964
-1.259626149	3.03518034	-3.307309262	0.001067008	0.016465754	-1.017782065	CHST13	1.783418377
-0.419935568	5.492797899	-3.340454611	0.000951833	0.015507754	-1.022891915	MGST2	1.809451097
-0.634698314	4.334167046	-3.292948426	0.001120828	0.017032892	-1.147302529	SLC25A42	1.768711607
-2.801746594	7.327019775	-3.297408565	0.001103849	0.016860445	-1.174198983	SLC34A2	1.773130967
-1.534702539	2.685494431	-3.230283845	0.001386532	0.019556798	-1.238742069	ABCA8	1.70870225
-0.505323712	4.513112823	-3.206505255	0.001501827	0.020600659	-1.352072888	SLC2A8	1.686118887
-1.370168967	2.439334052	-3.15040034	0.001809942	0.02355875	-1.450487049	FMO2	1.627847756
-0.926044048	8.720494013	-3.197381212	0.001548377	0.021094217	-1.461250222	GALNT11	1.675836591
0.371840634	5.50692587	3.201828491	0.001525523	0.020830259	-1.466541891	ABCE1	1.68130533
-0.965745716	2.384095341	-3.094538815	0.002173862	0.026176625	-1.57456406	ACSM1	1.582086349
-0.579018705	6.244105082	-3.15419813	0.001787369	0.023333476	-1.629032192	TST	1.632020559
-0.579063962	6.182089683	-3.125549119	0.001964268	0.024996926	-1.712393026	SLC25A4	1.602113395
-0.407486475	6.244175489	-3.112891764	0.002047456	0.025513985	-1.751423029	SLC41A3	1.593221704
-1.665816634	2.008673597	-3.034642641	0.002638128	0.029360205	-1.779473612	SLC5A8	1.532240916
1.060063622	5.737735518	3.082291823	0.002262173	0.026847896	-1.82307651	SLC2A1	1.571089743
0.575608266	5.365473037	3.080895613	0.002272449	0.026867133	-1.827059896	GPX8	1.570778675
-1.076519128	6.944575242	-3.073544325	0.002327261	0.027136269	-1.847773318	ALDH4A1	1.566449864
0.797780054	4.873598993	3.021746033	0.002749328	0.029964687	-1.895967985	SLC7A1	1.523390254
0.380279667	4.427774234	3.002106893	0.002926956	0.031211305	-1.915707261	SLC35A1	1.505688072
-0.613945681	8.327958451	-3.04128834	0.002582454	0.029037449	-1.950700931	SAT1	1.53704154
-0.37079691	5.676261871	-2.993177041	0.003011154	0.031769669	-2.077201005	DHRS7B	1.49798731
-2.220954692	4.239473368	-2.941657683	0.003541844	0.035368259	-2.131760925	SLC13A1	1.451386318
-0.965856922	1.784258912	-2.842586081	0.004809371	0.043075705	-2.145258793	SLC6A16	1.365767606
-0.959238069	4.989288344	-2.946421452	0.003489404	0.035025662	-2.164314941	SLC15A3	1.455613648
-0.396142328	5.996951489	-2.952069853	0.003428147	0.034760428	-2.198187206	CYB5R1	1.458914885
-0.421195489	5.880764747	-2.951624272	0.003432944	0.034779612	-2.206884094	ABCB8	1.458675267
0.685784525	5.175561284	2.922180945	0.003763828	0.036793342	-2.263740133	GALNT10	1.434230763
0.374747899	4.957867916	2.913077626	0.003871881	0.037512764	-2.271356474	NAA15	1.425820935
0.485969671	3.915825174	2.879745222	0.004292142	0.040311345	-2.284795721	UCHL5	1.394572711
-1.628621476	5.226120206	-2.91454076	0.003854325	0.037403198	-2.294254856	SLC22A11	1.427091264
-0.628103131	6.070959957	-2.9126818	0.003876643	0.037520399	-2.319961959	ABCA1	1.425732552
-0.362106636	3.202969468	-2.761555451	0.006139053	0.050805227	-2.436201247	CCBL1	1.294091604
-1.611733856	5.99875549	-2.838657299	0.004867248	0.043403656	-2.500114263	SLC16A9	1.362473687
-1.75826716	2.471315195	-2.708552395	0.007180461	0.056016953	-2.547615028	SLC5A1	1.251680518
-0.821868412	4.16879558	-2.771423511	0.005960995	0.049935402	-2.584442863	AS3MT	1.30159145
-0.371611525	5.147755889	-2.793590419	0.005577959	0.047575543	-2.600326745	SLC9A8	1.322616246
-0.413270213	6.164270762	-2.80825099	0.005337045	0.046012323	-2.602629911	HAGH	1.33712584
-0.434810956	4.405135251	-2.763711335	0.006099746	0.050674565	-2.639921632	SLC25A20	1.295209971
-0.542082034	5.991327194	-2.779460637	0.005819445	0.049177455	-2.678315354	EPHX2	1.30823395
-1.693515133	6.896483878	-2.764883566	0.00607847	0.050653915	-2.690894674	SLC47A1	1.295386983
0.42355963	6.064396674	2.765120752	0.006074173	0.050653357	-2.716657172	ABCC1	1.295391767
-0.481650479	3.550739115	-2.659161095	0.008291711	0.060878749	-2.738669504	SLC25A35	1.21553428
-0.884043446	4.528268969	-2.720780525	0.006926972	0.054825175	-2.798743187	ACSM5	1.261019973
-0.278566316	4.836184173	-2.687318619	0.007640595	0.057982337	-2.814036482	ALG9	1.236704284
1.260121289	3.170341598	2.544885768	0.011476672	0.074977164	-2.850523307	DPYSL3	1.125070991
0.413939476	5.102272683	2.677102726	0.007871303	0.059096458	-2.914460514	SLC20A2	1.228438548
0.955072618	4.76122193	2.620175755	0.009275585	0.065686061	-2.954760446	SLC7A5	1.182526781
-0.562892769	4.554242627	-2.627929247	0.009071947	0.064712722	-2.98809421	FLVCR2	1.189010332
-1.686663567	3.195480145	-2.487728919	0.013447303	0.083263422	-3.073587122	SLC5A10	1.079545744
-1.394227198	5.99827692	-2.614410758	0.009429645	0.066243686	-3.095838206	SLC6A13	1.17885551
-0.425548238	4.736646467	-2.582336471	0.010329425	0.070413782	-3.135232292	GSTZ1	1.152342329
0.192052686	5.700920668	2.59072286	0.01008703	0.069220156	-3.140092324	NAT10	1.159767426
-0.454233045	5.858814252	-2.580193289	0.0103922	0.070628035	-3.184767117	MTHFR	1.151022876
0.391971099	4.520391291	2.5154087	0.012458242	0.079228594	-3.189144109	NAA25	1.101118051
0.393802337	5.219031194	2.556350323	0.011113948	0.073462849	-3.21212267	SLC39A10	1.133932233
-0.900793055	4.871318332	-2.496116874	0.013140459	0.081999479	-3.216328055	GSTM2	1.086188907
0.27623601	5.13354291	2.541505123	0.011585629	0.075319169	-3.234899783	MGAT2	1.12309448
-0.540524131	6.554471329	-2.556695409	0.01110319	0.07345895	-3.242903315	SLC22A5	1.133955284
0.274183632	5.012275399	2.5271638	0.012058178	0.077590912	-3.265673629	SLC4A1AP	1.110189143
-0.356986211	7.843499577	-2.534660112	0.011809073	0.076439809	-3.285179172	SLC4A2	1.116680407
-0.474925296	3.324055097	-2.366548654	0.018646143	0.101695637	-3.305890608	CYP2R1	0.992697679
1.073152879	4.850801683	2.443816258	0.0151599	0.089693581	-3.378795844	CYP1B1	1.047238637
-0.611185217	5.315636147	-2.465779115	0.014280592	0.086151178	-3.43043063	ABCG1	1.06473878
-0.335381311	5.540993697	-2.45731332	0.014614025	0.087535226	-3.45993251	SLC27A4	1.057817143
-0.816396975	5.174746505	-2.445524482	0.015089829	0.089500103	-3.486410222	SLC2A9	1.048176465
0.341322972	6.313064995	2.43471143	0.01553826	0.0909881	-3.534825506	GALNT2	1.041015404
0.225462947	5.306640412	2.41077634	0.016573038	0.094912545	-3.552660031	SLC35A2	1.022676381
-0.834766021	5.903693897	-2.412180123	0.01651071	0.094736823	-3.57369585	SLC6A12	1.023481183
-1.528986944	4.970075397	-2.402184579	0.016959062	0.096319853	-3.581776632	FMO1	1.016284189
-0.546121976	7.368861628	-2.385260722	0.017742711	0.098913601	-3.638291129	ACSS2	1.004743987
-1.601278659	3.344288436	-2.285317882	0.023053493	0.115847913	-3.654653435	SLC22A12	0.936111786
-2.430087795	1.986133796	-2.099203795	0.036708131	0.154076365	-3.654955002	SLC6A19	0.812263976
-0.401949356	5.447021526	-2.362512788	0.018846221	0.10246343	-3.687002991	SLC12A6	0.98943111
-0.287087446	5.774166571	-2.338578192	0.020072022	0.106590892	-3.746894087	ABCD4	0.972279903
-0.860525107	9.147335598	-2.315183125	0.021337251	0.110564075	-3.75767454	SLC3A1	0.956385963
-1.403241776	4.871993872	-2.303749254	0.021980627	0.112582553	-3.801375346	SLC39A5	0.948528907
-0.501112712	3.986043783	-2.233392981	0.026325404	0.125048279	-3.807750551	FMO4	0.902922281
0.673883481	4.375247193	2.230215665	0.026538107	0.125759331	-3.81795669	SLC12A8	0.900459782
-0.501474174	4.16476707	-2.238301041	0.025999749	0.124092065	-3.847176613	SLC25A43	0.906255988
0.301814151	4.658727469	2.258293543	0.024709145	0.120967008	-3.852272302	NAA30	0.917333061
-1.297154988	3.477449865	-2.255179363	0.024906435	0.121373263	-3.856780388	AGXT2	0.915876972
0.411142063	4.963093396	2.222604793	0.02705369	0.127446083	-3.870693864	SLC35F2	0.894673508
0.466954647	3.105778754	2.153887624	0.032115697	0.14086099	-3.892151808	SLC30A6	0.851209264
-0.253189405	6.500212899	-2.247421842	0.025403866	0.122612492	-3.955877786	HSD17B10	0.911465281
-0.5381805	8.974514435	-2.216056948	0.027504196	0.128736529	-3.964868459	ALDH2	0.890298205
0.801389803	1.855173394	2.049400827	0.041369076	0.165034627	-3.967164984	MGAT5	0.782424924
-0.772590162	7.798790129	-2.233915955	0.026290536	0.12493221	-3.98192124	GGT1	0.903325577
-0.294011233	4.884842168	-2.209486246	0.027962801	0.129990116	-3.982967789	DHRS1	0.886089669
0.996447479	2.549480345	1.97286529	0.049509713	0.182818011	-3.993480028	SLC7A2	0.73798102
0.470284648	5.525243308	2.195695492	0.028946927	0.132710358	-4.045187278	SLC17A5	0.877095179
-0.30535871	4.957643596	-2.161191994	0.031541423	0.139478782	-4.049259331	ABCD1	0.855491854
-0.463545389	2.502925118	-2.033588292	0.042950584	0.168669071	-4.070168084	SLC22A4	0.772964547
-1.310627872	3.127061279	-2.025997191	0.043727891	0.170234555	-4.166043882	DPYS	0.76895228
0.29468189	4.954332793	2.097287341	0.036878793	0.154521886	-4.212455465	SLC35B3	0.81101
-0.32745173	5.588470918	-2.090899695	0.037452535	0.155595541	-4.259359766	GSTM4	0.808002853
0.2347066	3.349152758	1.907377399	0.05751074	0.199482417	-4.273368458	SLC38A9	0.700095378
-1.152779136	4.958850402	-2.063256038	0.040024358	0.161868184	-4.27789967	AOX1	0.790838506
-0.326324511	8.537021975	-2.058537458	0.040478073	0.163179868	-4.323474156	GPX4	0.787333423
-0.338445046	4.112856698	-1.936521734	0.053825558	0.191662521	-4.360672755	SLC1A4	0.717462804
-0.617858289	7.470605019	-2.035886933	0.042717538	0.168104673	-4.370029472	SLC9A3R1	0.774420214
0.450731595	6.903142784	2.031436529	0.043169716	0.169106102	-4.397759837	ABCA3	0.771840721
-0.766424747	4.92300811	-1.990637398	0.04750784	0.177894429	-4.408419763	SLC39A4	0.749837652
-0.672926027	3.316013967	-1.914911982	0.056538367	0.197851239	-4.410479166	SLC1A3	0.703661226
-0.856166279	5.00669382	-2.012515094	0.045137873	0.172807821	-4.415028167	ABCC6	0.762436606
0.612047998	2.918225919	1.663778939	0.09729273	0.2732365	-4.439715692	SLC22A23	0.563461286
-0.59569178	3.55762857	-1.805597818	0.072071821	0.227816596	-4.470440046	GPX7	0.642414642
-0.363042864	5.930241927	-1.978550078	0.04886177	0.181417463	-4.480738277	SAT2	0.741320911
0.305103812	3.918565113	1.898052532	0.058733478	0.201645228	-4.487615473	SLC19A1	0.695412051
-0.26975764	5.272412415	-1.97600299	0.049151193	0.18192405	-4.489475972	ACSF3	0.740109884
-0.314387005	5.309750878	-1.93982751	0.053420357	0.191169712	-4.536491416	CHST14	0.718580914
0.323247611	3.284624983	1.807332814	0.071800283	0.227522727	-4.559349009	SLC35A3	0.642975216
-0.289232625	6.141049973	-1.93054114	0.054565177	0.193261754	-4.584789587	SLC12A9	0.713854083
-0.201816136	4.834753068	-1.871930838	0.062274767	0.20871546	-4.614992573	CYB561D2	0.680445381
0.698947086	4.464951929	1.883013482	0.060751187	0.205739666	-4.617309896	ACSF2	0.68668197
-1.230267496	6.742081916	-1.890930869	0.05968187	0.203662585	-4.634197871	SLC44A4	0.691088748
0.196021149	5.22771415	1.85411615	0.064790356	0.214445691	-4.655292269	SLC10A3	0.668682676
-0.898962656	2.722045132	-1.754187677	0.080509301	0.24300499	-4.705534923	SLC2A2	0.614384808
-0.613106564	3.056598951	-1.52751903	0.12777835	0.321797212	-4.70701933	SLC11A1	0.492417723
0.762446668	2.358306171	1.395480462	0.163993869	0.375375609	-4.71041492	SLC16A5	0.42553395
-0.494758748	4.138673058	-1.730076789	0.08473557	0.251227643	-4.711114285	COMTD1	0.599932576
-0.259394829	5.365126811	-1.829369806	0.068424107	0.221327989	-4.737571898	SLC25A12	0.654963662
0.258525468	6.592749994	1.844231097	0.066222204	0.216966045	-4.747801823	DHRS7	0.663608228
-0.245518899	3.365802819	-1.599673276	0.110816306	0.296210997	-4.756799254	NAA80	0.528398822
0.241092796	3.648484493	1.695505906	0.091108371	0.262405093	-4.760705936	SLC25A15	0.58102774
-1.169178341	6.304120901	-1.822624718	0.069443266	0.223243787	-4.768915513	UGT2A3	0.651220619
0.258045589	4.857036462	1.747329183	0.081693592	0.245592093	-4.775579025	DHRSX	0.60978562
-0.329259116	7.515200451	-1.804146909	0.072299546	0.227958678	-4.808990625	SLC12A7	0.64214387
-0.247180248	2.710566299	-1.416577791	0.157735234	0.36712914	-4.815991977	SLC25A14	0.435181143
-0.235448763	6.903153347	-1.804720836	0.072209395	0.227914472	-4.818921096	GUSB	0.642228097
-0.248300376	6.735547583	-1.787100021	0.075019744	0.233400906	-4.849620428	SLC25A1	0.631897462
0.361726656	3.667097653	1.667274121	0.096595315	0.272235562	-4.869955961	SLC30A1	0.565055144
-0.495575151	2.837330795	-1.427523337	0.154560697	0.36341338	-4.885931435	SLC9A9	0.439599087
0.401750083	5.989627475	1.755793625	0.080234029	0.242504416	-4.890450406	SLC39A14	0.615280348
0.637851031	6.192964076	1.718921571	0.086751073	0.255056247	-4.920895879	CCN1	0.593364035
-0.270239319	4.922302006	-1.648575502	0.100373581	0.27836351	-4.925593824	SLC25A28	0.555387696
0.449321818	7.167557682	1.734036388	0.084029382	0.250299598	-4.937131612	EPHX1	0.601539848
-0.381222516	2.172107952	-1.203562712	0.229790977	0.450849514	-4.943498057	SLC2A6	0.345968394
0.300359479	5.219448362	1.682240777	0.09365428	0.267083074	-4.955579587	SLC23A2	0.573353634
0.666220591	2.417148041	1.086989766	0.277990679	0.502329618	-4.971609154	SLC4A3	0.299011215
0.261134385	5.692243133	1.704064688	0.08949563	0.259619711	-4.976005653	ACSL3	0.585662338
0.558740672	9.727758925	1.662787327	0.097491327	0.273601744	-4.978214673	ALDH1A1	0.562881139
0.196557967	6.721148317	1.702815373	0.089729589	0.25992046	-4.991943284	SLC35B2	0.585159533
0.301541262	6.034440827	1.69689678	0.090844699	0.26195259	-4.992884498	SLC39A6	0.581777303
0.597375277	5.647417127	1.654152602	0.099234469	0.276686906	-4.995965714	UCP2	0.558011393
-0.20342617	5.063116696	-1.643568036	0.101405254	0.279799059	-4.996949198	SLC26A11	0.55315375
0.469366797	4.64468143	1.559647443	0.119990278	0.310074144	-5.000717467	CHST15	0.508534447
0.226022647	5.234303638	1.663841201	0.097280271	0.2732365	-5.01044692	SLC30A5	0.563461286
0.502361522	2.403583158	1.124903832	0.261608107	0.484871859	-5.014075298	CYP26B1	0.314373021
0.971055889	3.715493074	1.04832345	0.295407677	0.520527801	-5.016578586	SLC29A4	0.28355607
0.445394506	5.881892586	1.682744279	0.093556608	0.266977871	-5.017085154	GSR	0.573524735
0.610855687	2.814851038	1.113410581	0.266501857	0.490267103	-5.033375575	SLC29A2	0.309567247
-0.235200735	7.955134746	-1.664001689	0.097248163	0.2732365	-5.044072431	SLC25A39	0.563461286
1.48502076	4.967316258	1.11880075	0.264198927	0.487560819	-5.063214167	UCHL1	0.311971202
0.333577718	5.210966355	1.615257694	0.107398601	0.290906639	-5.073628597	ABCB6	0.536246367
0.368989483	6.3426044	1.635244592	0.103138877	0.282873483	-5.092065412	ACSL4	0.548407762
-0.259069006	5.812569961	-1.620173408	0.106338159	0.288973136	-5.108124758	SLC9A1	0.539142529
-0.275199098	5.436309938	-1.5838197	0.114381064	0.301418823	-5.119055104	SLC27A1	0.52082963
1.131536217	1.875355142	0.902066887	0.367808681	0.590656613	-5.123778491	UGT3A1	0.228664929
-0.22880577	6.998770336	-1.614017995	0.107667361	0.29123936	-5.134652085	SLC39A13	0.535749932
0.209069682	5.766351177	1.594518621	0.111965551	0.298217854	-5.146596227	ALG3	0.525466359
-0.242004068	3.991193042	-1.399687361	0.162731082	0.373848819	-5.147966762	SLC25A19	0.427303987
0.272825042	5.10038008	1.563753863	0.119022393	0.308638622	-5.16432373	GALNT7	0.510549729
-0.463477104	6.188982069	-1.584272568	0.11427799	0.301360699	-5.172991743	SLC1A1	0.520913385
0.311117523	6.731616564	1.583733401	0.114400714	0.301418823	-5.179001087	PON2	0.52082963
0.169807069	4.955244408	1.510563301	0.132044937	0.327521408	-5.19474037	SLC5A6	0.484760308
-0.518585976	5.402880895	-1.554008035	0.121329577	0.312400928	-5.199851927	SLCO2B1	0.505287685
-0.384004393	2.226157681	-1.17201679	0.242202037	0.463317795	-5.206873296	ABCB4	0.334121019
0.210318673	2.276114501	1.118312976	0.264406757	0.48779401	-5.216706996	SLC25A33	0.311763537
-0.386809726	5.619398466	-1.525114026	0.128376879	0.322355446	-5.218300816	SLC22A17	0.491664988
-0.248052411	3.640691301	-1.315655934	0.18938248	0.405771192	-5.219865794	SLC26A6	0.391718789
-0.313599744	2.468431987	-1.044053586	0.297375113	0.522155535	-5.236092727	GALNT6	0.282200114
-0.131211668	6.305835748	-1.546780202	0.123063266	0.314956746	-5.236547959	ABCF3	0.501749085
0.233096108	5.384859623	1.528312872	0.127581268	0.321436098	-5.241363223	SLC39A11	0.492905353
0.875977858	4.848248181	1.279523682	0.201788374	0.420465596	-5.24421193	SULF1	0.376269534
-0.743912277	5.636298294	-1.526210696	0.128103681	0.322074655	-5.260976878	ALDH8A1	0.49204345
0.247169135	3.90183536	1.327421369	0.185467395	0.401090933	-5.263640272	ALG10B	0.396757156
-0.569558283	2.705767395	-0.754017971	0.451481891	0.66394953	-5.276373295	SLC4A11	0.177864932
0.336943468	4.038070172	1.396594098	0.163658868	0.375012428	-5.288833508	SLC41A2	0.425954339
-0.237842213	6.289890328	-1.509808813	0.132237338	0.327652002	-5.291144796	ABCD3	0.484587174
0.387694685	2.350616061	0.765858446	0.444415668	0.65783407	-5.301728297	ABCC9	0.181883638
-0.201984355	4.389947165	-1.431125032	0.153526838	0.361977532	-5.312368286	CYB561D1	0.441318385
-0.264104483	5.579176792	-1.452018727	0.147633362	0.352313573	-5.319416631	NAA38	0.453070625
0.642783375	7.180722866	1.287727708	0.198920548	0.417102708	-5.339649848	ABCC3	0.379756991
0.330694541	3.066079799	1.15899356	0.247461603	0.469530107	-5.343763226	SLC26A1	0.328336555
-0.800229233	3.897042615	-1.426264708	0.154923235	0.363745588	-5.345700529	DPEP1	0.439202266
-0.138556496	5.753861552	-1.448727242	0.148550078	0.353866556	-5.355082098	SLC35B1	0.451160481
-0.19738401	2.885364868	-1.000976039	0.317716059	0.540509988	-5.358977985	SLC27A5	0.267196276
-0.640410782	9.28408778	-1.428315469	0.154332862	0.363016861	-5.370151457	GPX3	0.440073203
0.196531517	2.930430294	1.12401766	0.261983196	0.485266632	-5.370330077	GSTCD	0.314019571
0.289751227	4.830665708	1.413312416	0.158691845	0.368567658	-5.37472349	SLC25A24	0.433482777
-0.435527716	2.624229089	-1.131217105	0.258946692	0.482553165	-5.381442218	GALNT3	0.316454832
0.202366434	3.64362296	1.197032146	0.232322216	0.45282264	-5.393944739	CYB5R4	0.344071868
-0.141026744	5.170803248	-1.366656193	0.172846484	0.385947538	-5.399415731	ALG5	0.413471725
-0.640295514	4.220688609	-0.918366543	0.359229677	0.58218641	-5.402009859	ALDH1A3	0.234937937
0.273630909	7.966083334	1.417989161	0.157323127	0.366645783	-5.405626293	SLC38A1	0.435753306
-0.263121491	6.593786905	-1.428437799	0.1542977	0.363008833	-5.406224091	TPMT	0.440082807
0.413439496	2.779319576	0.778373161	0.43701652	0.651877532	-5.422056314	SLC25A27	0.185833987
-0.149592682	4.721787002	-1.335698251	0.182749445	0.398474982	-5.427999018	SLC25A26	0.39959894
0.193316378	5.964115592	1.409552796	0.159798709	0.370276614	-5.429248624	ABCB3	0.431473716
0.153527476	3.760733805	1.234698323	0.217994013	0.438662125	-5.432966276	NAA35	0.357869862
0.199289466	2.553674636	0.615291822	0.538869533	0.730138326	-5.433268848	SLC22A15	0.136594854
-0.202267546	7.265370594	-1.390516435	0.165493456	0.377195305	-5.459664619	MGAT1	0.423433722
0.180301421	3.534170969	1.172934694	0.241834338	0.463058234	-5.460546617	SLC35E3	0.334364389
0.26450752	6.460266881	1.377265096	0.169547357	0.381999712	-5.47533371	ABCA2	0.417936965
0.263706229	2.323054991	0.349502546	0.726978854	0.855429631	-5.475554066	HSD11B2	0.06781571
0.404596105	4.892410066	1.24178234	0.215372175	0.436023973	-5.487582144	GSTM3	0.360489632
0.204714482	2.626167113	0.419121201	0.675453894	0.822454591	-5.489784991	CHST2	0.084888071
0.163186807	5.917918918	1.33382787	0.183361027	0.399154389	-5.504124811	SLC52A2	0.398859091
0.27906158	2.058388735	0.795935342	0.426754352	0.643934477	-5.521550459	CES3	0.191158322
-0.328868536	6.894719128	-1.333983772	0.183309991	0.399115845	-5.530100573	ABCC4	0.39890103
-0.192198408	4.414932509	-1.25311168	0.211226722	0.430762942	-5.533500402	CCBL2	0.365761666
0.279074866	5.056448067	1.302161763	0.193947839	0.411540643	-5.55018024	SLC5A3	0.385587268
0.14455605	3.27396957	1.046401617	0.296292118	0.521319146	-5.55150255	SLC36A4	0.282896325
0.17454077	3.390621436	1.044674218	0.297088597	0.52195576	-5.558676433	ARSK	0.282366305
0.112420112	3.560248714	0.981013949	0.327445883	0.551034914	-5.57433025	ALG6	0.258820883
0.156443201	2.779601795	0.45946805	0.646260149	0.804633529	-5.583193569	CHST11	0.094401874
-0.216530179	6.714180455	-1.293267082	0.197001199	0.414967346	-5.586436924	SLC35E2B	0.381986077
-0.113243171	3.248629752	-0.873518794	0.383140524	0.604653107	-5.586837333	ALG14	0.218493711
-0.245851136	4.24529953	-1.10813429	0.268769546	0.493032371	-5.596489616	SLC19A2	0.307124565
-0.146769048	4.844820992	-1.171305455	0.24248726	0.463493207	-5.600357388	SLC39A3	0.333956627
-0.271712985	5.221335179	-1.227496386	0.22068306	0.441402981	-5.603472616	HNMT	0.355164738
0.236919635	5.114343301	1.176243708	0.240512072	0.461688856	-5.608297131	SLC9A3R2	0.335650608
0.179386849	4.603177084	1.21148505	0.226746843	0.447095838	-5.625505367	SLC33A1	0.349599373
0.313763281	2.102951516	0.350503753	0.726228306	0.855121334	-5.637152945	SLC13A3	0.067972258
-0.271539258	6.133981364	-1.236804405	0.217212141	0.438119486	-5.644252563	SLC25A10	0.358407431
0.236409385	3.749088174	1.02256307	0.307410831	0.531280806	-5.652354922	SLC12A2	0.274675874
-0.235244451	4.089461621	-0.899273991	0.369291439	0.591613567	-5.66200039	SLC25A25	0.227961875
-0.277180625	6.260480036	-1.21430019	0.22567213	0.445980274	-5.666032647	ACSS1	0.35068435
0.383695728	5.304713822	1.210733038	0.227034553	0.447248742	-5.668006639	SULT1A1	0.349450872
-0.152967507	4.640017033	-1.1008392	0.271926781	0.497151271	-5.668329683	CHST12	0.303511446
0.118070002	6.58391292	1.225416615	0.221464034	0.441845625	-5.669461872	SLC39A9	0.354729441
0.229945725	6.427069243	1.217771955	0.224351783	0.444950745	-5.678224011	SLC35F5	0.351688062
-0.35429044	5.512530716	-1.149781129	0.251230363	0.473776944	-5.683004728	SLCO2A1	0.324426078
-0.521949969	2.515182531	-0.814848705	0.415862191	0.634792829	-5.689513249	ALDH1A2	0.197367988
-0.371083135	5.819912804	-1.201009105	0.230778394	0.451965616	-5.693672245	ALDH1B1	0.344894604
-0.125426682	3.107510145	-0.664575774	0.506877301	0.704404745	-5.718749702	SLC25A45	0.152177727
-0.53824982	4.703055335	-1.138619856	0.255850096	0.478644727	-5.730088807	SLC17A1	0.319986721
